task,mean_lodo_auc,n_folds
h_vs_a_rf,0.5605807096138371,4
h_vs_a_xgb,0.5791394545460873,4
a_vs_crc_rf,0.6713898333625392,4
a_vs_crc_xgb,0.6168381309744783,4
