representation,setting,mean_auc,min_auc,max_auc,n_cohorts
Frozen mechanism genes,internal LODO,0.569408802057239,0.5387441860465116,0.6038538538538539,10
Gene families,internal LODO,0.6932728184043169,0.5703124999999999,0.8117948717948718,10
Species-resolved pathways (source-only correction),internal LODO,0.772825119468387,0.6673333333333333,0.9011111111111112,10
Community pathways,internal LODO,0.8169133566126112,0.6785116279069768,0.9355555555555556,10
Species abundance,internal LODO,0.8074773985892569,0.6939655172413793,0.8822222222222222,10
Species abundance,external PRJNA763023,0.7981,0.7369,0.8550025,1
