model,pooled_auc,ci_lo,ci_hi,n
species_rf,0.7611725846407927,0.735620915040702,0.7862523097969065,1392
joint_rf,0.7408071841453343,0.7153172489948182,0.7655810629777454,1392
joint_xgb,0.7515503715937242,0.7252005177601832,0.7758671066198266,1392
