cohort,n_train,n_test,auc_ours,auc_wirbel_2019,delta
FengQ_2015,471,107,0.8139700641482538,0.79,0.023970064148253756
VogtmannE_2016,474,104,0.7392751479289941,0.8,-0.060724852071005975
WirbelJ_2018,453,125,0.8953846153846153,0.84,0.055384615384615365
YuJ_2015,450,128,0.8701201201201202,0.79,0.08012012012012015
ZellerG_2014,464,114,0.8029693782864213,0.84,-0.037030621713578626
MEAN,,,0.824343865173681,0.812,0.012343865173680912
