model_a,model_b,cohort,auc_a,auc_b,auc_diff,z,p_value,n_fold
species_rf,joint_rf,FengQ_2015,0.8399857448325018,0.8328581610833927,0.0071275837491090455,0.245443016496017,0.806113425046026,107
species_rf,joint_rf,GuptaA_2019,0.8822222222222222,0.9122222222222223,-0.030000000000000027,-0.7398529049459551,0.45938925331328795,60
species_rf,joint_rf,ThomasAM_2018a,0.6939655172413793,0.8433908045977011,-0.14942528735632177,-2.778416984029941,0.005462446930657894,53
species_rf,joint_rf,ThomasAM_2018b,0.8102678571428571,0.7912946428571429,0.01897321428571419,0.8188260052103424,0.41288569166196765,60
species_rf,joint_rf,ThomasAM_2019_c,0.835625,0.7775000000000001,0.05812499999999987,1.9242048120859938,0.054328916201042965,80
species_rf,joint_rf,VogtmannE_2016,0.7559171597633136,0.7196745562130177,0.03624260355029596,1.3071657062220965,0.19115643975147134,104
species_rf,joint_rf,WirbelJ_2018,0.8817948717948717,0.8520512820512821,0.029743589743589594,1.546852678874463,0.12189877406404204,125
species_rf,joint_rf,YachidaS_2019,0.7077209302325582,0.6685271317829459,0.03919379844961235,2.8014657720624676,0.005087103725980535,508
species_rf,joint_rf,YuJ_2015,0.8646146146146146,0.8193193193193193,0.0452952952952953,1.6909880811245348,0.09083907906590105,128
species_rf,joint_rf,ZellerG_2014,0.8026600680482524,0.8261676461490874,-0.023507578100835036,-1.3130021234954652,0.1891822326304191,114
species_rf,joint_xgb,FengQ_2015,0.8399857448325018,0.8439059158945118,-0.003920171062010036,-0.13820239426998543,0.8900804629031425,107
species_rf,joint_xgb,GuptaA_2019,0.8822222222222222,0.8855555555555557,-0.0033333333333334103,-0.08655032748169253,0.9310289505856411,60
species_rf,joint_xgb,ThomasAM_2018a,0.6939655172413793,0.7428160919540231,-0.04885057471264376,-0.8361648520916214,0.403062168572768,53
species_rf,joint_xgb,ThomasAM_2018b,0.8102678571428571,0.7611607142857143,0.049107142857142794,1.5967708436080308,0.11031679737968458,60
species_rf,joint_xgb,ThomasAM_2019_c,0.835625,0.81875,0.016874999999999973,0.6790273452834541,0.4971205356949142,80
species_rf,joint_xgb,VogtmannE_2016,0.7559171597633136,0.7340976331360947,0.021819526627218977,0.6576331437337822,0.510773891887955,104
species_rf,joint_xgb,WirbelJ_2018,0.8817948717948717,0.8600000000000001,0.021794871794871606,0.9910165653737721,0.3216774915151963,125
species_rf,joint_xgb,YachidaS_2019,0.7077209302325582,0.694015503875969,0.013705426356589223,1.0168496218046663,0.30922497208050403,508
species_rf,joint_xgb,YuJ_2015,0.8646146146146146,0.8188188188188187,0.04579579579579596,1.8315560871904806,0.06701758427473714,128
species_rf,joint_xgb,ZellerG_2014,0.8026600680482524,0.8113207547169811,-0.008660686668728657,-0.4967720297271155,0.6193498215287565,114
joint_xgb,joint_rf,FengQ_2015,0.8439059158945118,0.8328581610833927,0.011047754811119082,0.37394871337898905,0.7084424732168668,107
joint_xgb,joint_rf,GuptaA_2019,0.8855555555555557,0.9122222222222223,-0.026666666666666616,-1.0371760494972353,0.2996538178864907,60
joint_xgb,joint_rf,ThomasAM_2018a,0.7428160919540231,0.8433908045977011,-0.10057471264367801,-2.2363656502366767,0.025327829281376557,53
joint_xgb,joint_rf,ThomasAM_2018b,0.7611607142857143,0.7912946428571429,-0.030133928571428603,-1.1628653636818709,0.24488413222888328,60
joint_xgb,joint_rf,ThomasAM_2019_c,0.81875,0.7775000000000001,0.0412499999999999,1.4153303781230004,0.15697165215175546,80
joint_xgb,joint_rf,VogtmannE_2016,0.7340976331360947,0.7196745562130177,0.014423076923076983,0.4249311509929431,0.6708868652812188,104
joint_xgb,joint_rf,WirbelJ_2018,0.8600000000000001,0.8520512820512821,0.007948717948717987,0.41355202466347446,0.679202214407302,125
joint_xgb,joint_rf,YachidaS_2019,0.694015503875969,0.6685271317829459,0.025488372093023126,1.778758576420025,0.07527935114267459,508
joint_xgb,joint_rf,YuJ_2015,0.8188188188188187,0.8193193193193193,-0.0005005005005006558,-0.02480085112597777,0.9802138121679802,128
joint_xgb,joint_rf,ZellerG_2014,0.8113207547169811,0.8261676461490874,-0.01484689143210638,-0.7556128280012149,0.4498813624895308,114
