cohort,auc
FengQ_2015,0.8499643620812545
GuptaA_2019,0.9188888888888889
ThomasAM_2018a,0.7255747126436781
ThomasAM_2018b,0.7924107142857143
ThomasAM_2019_c,0.843125
VogtmannE_2016,0.7673816568047337
WirbelJ_2018,0.8807692307692307
YachidaS_2019,0.7032713178294573
YuJ_2015,0.8538538538538539
ZellerG_2014,0.8122486854314879
