model_a,model_b,auc_a,auc_b,auc_diff,z,p_value,n_samples
species_rf,joint_rf,0.8096146472392638,0.776926763803681,0.03268788343558282,2.8737482582276126,0.004056321420928377,646
species_rf,joint_xgb,0.8096146472392638,0.7818826687116565,0.027731978527607337,2.4769445778451056,0.013251247699371138,646
joint_xgb,joint_rf,0.7818826687116565,0.776926763803681,0.0049559049079754836,0.46446384890600007,0.6423154543738518,646
