model_a,model_b,auc_a,auc_b,diff,z,p_value
species_rf,stratified_joint_rf,0.7812275495861315,0.7348229624506369,-0.04640458713549456,5.487657848965986,4.0729800643291014e-08
species_rf,stratified_joint_xgb,0.7812275495861315,0.7691305414872492,-0.012097008098882256,1.5274947017150156,0.1266380437093897
joint_rf,stratified_joint_rf,0.7560830860534126,0.7348229624506369,-0.021260123602775627,3.014563511810011,0.0025734932328329574
joint_xgb,stratified_joint_xgb,0.765982463577341,0.7691305414872492,0.0031480779099082312,-0.4944051950064194,0.6210200458416719
