comparison,mean_a,mean_b,mean_diff,ci_low,ci_high,t_stat,t_pvalue,wilcoxon_stat,wilcoxon_pvalue,n_folds
Species RF vs Joint RF,0.8028571428571428,0.7834465514861387,0.019410591371004173,-0.018352942071427902,0.060008214665075346,0.8873701114457879,0.409037901216971,9.0,0.46875,7
Species RF vs Joint XGB,0.8028571428571428,0.7901990324188947,0.012658110438248207,-0.016144352303126146,0.04396951678601847,0.8027825184030342,0.45271827510193186,7.0,0.296875,7
Joint XGB vs Joint RF,0.7901990324188947,0.7834465514861387,0.006752480932755965,-0.012833034665709191,0.03016479578361909,0.5648150593789975,0.5926729317052358,13.0,0.9375,7
