model_a,model_b,auc_a,auc_b,auc_diff,z,p_value,n_samples
species_rf,joint_rf,0.7611725846407926,0.7408071841453345,0.020365400495458097,2.7265730038306577,0.006399579425612423,1392
species_rf,joint_xgb,0.7611725846407926,0.7515503715937243,0.00962221304706834,1.2179563275578882,0.22324056922349644,1392
joint_xgb,joint_rf,0.7515503715937243,0.7408071841453345,0.010743187448389757,1.4241438683339724,0.15440482975805891,1392
