cohort,gene_id,n_samples,n_nonzero,total_abundance
VogtmannE_2016,UniRef90_Q0P7J2,104,5,1.05286666e-05
WirbelJ_2018,UniRef90_Q0P7J2,125,9,6.2514707e-06
YachidaS_2019,UniRef90_Q0P7J2,508,71,9.62517115e-05
YuJ_2015,UniRef90_Q0P7J2,128,16,2.93507829e-05
ZellerG_2014,UniRef90_Q0P7J2,114,15,1.98114954e-05
FengQ_2015,UniRef90_Q0P7J3,107,13,4.3768292e-06
GuptaA_2019,UniRef90_Q0P7J3,60,2,7.17035e-07
ThomasAM_2018a,UniRef90_Q0P7J3,53,6,3.730772e-06
ThomasAM_2018b,UniRef90_Q0P7J3,60,9,2.13264442e-05
ThomasAM_2019_c,UniRef90_Q0P7J3,80,11,3.2526562e-06
VogtmannE_2016,UniRef90_Q0P7J3,104,4,1.38402096e-05
WirbelJ_2018,UniRef90_Q0P7J3,125,9,4.5137465e-06
YachidaS_2019,UniRef90_Q0P7J3,508,67,0.0001009458076
YuJ_2015,UniRef90_Q0P7J3,128,15,2.2748014e-05
ZellerG_2014,UniRef90_Q0P7J3,114,17,1.28328451e-05
FengQ_2015,UniRef90_Q0P7J4,107,12,1.065186e-05
ThomasAM_2018a,UniRef90_Q0P7J4,53,6,1.0422469e-05
ThomasAM_2018b,UniRef90_Q0P7J4,60,10,6.6767903e-05
ThomasAM_2019_c,UniRef90_Q0P7J4,80,10,7.765693e-06
VogtmannE_2016,UniRef90_Q0P7J4,104,4,2.231101e-05
WirbelJ_2018,UniRef90_Q0P7J4,125,9,8.446737e-06
YachidaS_2019,UniRef90_Q0P7J4,508,75,0.0002079672496
YuJ_2015,UniRef90_Q0P7J4,128,16,4.7901034e-05
ZellerG_2014,UniRef90_Q0P7J4,114,18,4.79930808e-05
FengQ_2015,UniRef90_Q0P7J5,107,10,8.957905e-06
ThomasAM_2018a,UniRef90_Q0P7J5,53,6,4.893404e-06
ThomasAM_2018b,UniRef90_Q0P7J5,60,6,4.1674467e-05
ThomasAM_2019_c,UniRef90_Q0P7J5,80,14,9.555586e-06
VogtmannE_2016,UniRef90_Q0P7J5,104,4,2.5787421e-05
WirbelJ_2018,UniRef90_Q0P7J5,125,8,7.957279e-06
YachidaS_2019,UniRef90_Q0P7J5,508,71,0.0002344543741
YuJ_2015,UniRef90_Q0P7J5,128,13,3.9577626e-05
ZellerG_2014,UniRef90_Q0P7J5,114,15,4.9418088e-05
FengQ_2015,UniRef90_Q0P7J6,107,13,6.8016671e-06
GuptaA_2019,UniRef90_Q0P7J6,60,2,1.460536e-06
ThomasAM_2018a,UniRef90_Q0P7J6,53,6,4.475722e-06
ThomasAM_2018b,UniRef90_Q0P7J6,60,9,2.8154239e-05
ThomasAM_2019_c,UniRef90_Q0P7J6,80,8,2.9453504e-06
VogtmannE_2016,UniRef90_Q0P7J6,104,4,1.1647759e-05
WirbelJ_2018,UniRef90_Q0P7J6,125,7,6.103001e-06
YachidaS_2019,UniRef90_Q0P7J6,508,71,0.0001026775853
YuJ_2015,UniRef90_Q0P7J6,128,16,3.3162048e-05
ZellerG_2014,UniRef90_Q0P7J6,114,15,2.1672921e-05
FengQ_2015,UniRef90_Q0P7J7,107,12,1.1570819e-05
GuptaA_2019,UniRef90_Q0P7J7,60,2,9.03908e-07
ThomasAM_2018a,UniRef90_Q0P7J7,53,6,8.68244e-06
ThomasAM_2018b,UniRef90_Q0P7J7,60,10,5.0825145e-05
ThomasAM_2019_c,UniRef90_Q0P7J7,80,10,6.5662082e-06
VogtmannE_2016,UniRef90_Q0P7J7,104,4,1.9005289e-05
WirbelJ_2018,UniRef90_Q0P7J7,125,10,1.2970916e-05
YachidaS_2019,UniRef90_Q0P7J7,508,67,0.0001644096879
YuJ_2015,UniRef90_Q0P7J7,128,18,6.0697268e-05
ZellerG_2014,UniRef90_Q0P7J7,114,17,3.6748568e-05
FengQ_2015,UniRef90_Q0P7J9,107,15,1.0522341e-05
GuptaA_2019,UniRef90_Q0P7J9,60,2,9.14606e-07
ThomasAM_2018a,UniRef90_Q0P7J9,53,6,7.036943e-06
ThomasAM_2018b,UniRef90_Q0P7J9,60,9,4.3562346e-05
ThomasAM_2019_c,UniRef90_Q0P7J9,80,11,5.9090075e-06
VogtmannE_2016,UniRef90_Q0P7J9,104,5,1.3253249e-05
WirbelJ_2018,UniRef90_Q0P7J9,125,10,1.2335338e-05
YachidaS_2019,UniRef90_Q0P7J9,508,69,0.0001217134332
YuJ_2015,UniRef90_Q0P7J9,128,15,5.57086e-05
ZellerG_2014,UniRef90_Q0P7J9,114,18,3.7013107e-05
FengQ_2015,UniRef90_Q0P7K3,107,16,1.4199143e-05
GuptaA_2019,UniRef90_Q0P7K3,60,7,1.3811337e-05
ThomasAM_2018a,UniRef90_Q0P7K3,53,8,1.1920418e-05
ThomasAM_2018b,UniRef90_Q0P7K3,60,11,6.5692359e-05
ThomasAM_2019_c,UniRef90_Q0P7K3,80,13,8.6155741e-06
VogtmannE_2016,UniRef90_Q0P7K3,104,8,1.9738668e-05
WirbelJ_2018,UniRef90_Q0P7K3,125,12,1.3614542e-05
YachidaS_2019,UniRef90_Q0P7K3,508,89,0.0001866868156
YuJ_2015,UniRef90_Q0P7K3,128,26,7.20022634e-05
ZellerG_2014,UniRef90_Q0P7K3,114,19,4.28590607e-05
FengQ_2015,UniRef90_Q0P7K4,107,14,4.6227181e-06
GuptaA_2019,UniRef90_Q0P7K4,60,2,1.592501e-06
ThomasAM_2018a,UniRef90_Q0P7K4,53,6,3.848622e-06
ThomasAM_2018b,UniRef90_Q0P7K4,60,10,2.2369826e-05
ThomasAM_2019_c,UniRef90_Q0P7K4,80,10,3.1382791e-06
VogtmannE_2016,UniRef90_Q0P7K4,104,5,1.52059634e-05
WirbelJ_2018,UniRef90_Q0P7K4,125,9,4.662095e-06
YachidaS_2019,UniRef90_Q0P7K4,508,70,0.0001048101161
YuJ_2015,UniRef90_Q0P7K4,128,15,2.42431766e-05
ZellerG_2014,UniRef90_Q0P7K4,114,17,1.43227765e-05
FengQ_2015,UniRef90_Q0P7K6,107,13,1.2102748e-05
GuptaA_2019,UniRef90_Q0P7K6,60,2,2.04344e-06
ThomasAM_2018a,UniRef90_Q0P7K6,53,6,9.442548e-06
ThomasAM_2018b,UniRef90_Q0P7K6,60,10,5.7323511e-05
ThomasAM_2019_c,UniRef90_Q0P7K6,80,11,6.409952e-06
VogtmannE_2016,UniRef90_Q0P7K6,104,5,1.9088026e-05
WirbelJ_2018,UniRef90_Q0P7K6,125,9,1.18480241e-05
YachidaS_2019,UniRef90_Q0P7K6,508,74,0.0001595993332
YuJ_2015,UniRef90_Q0P7K6,128,16,5.8141767e-05
ZellerG_2014,UniRef90_Q0P7K6,114,16,4.5425519e-05
FengQ_2015,UniRef90_Q0P7K7,107,14,1.29081822e-05
GuptaA_2019,UniRef90_Q0P7K7,60,2,1.994477e-06
ThomasAM_2018a,UniRef90_Q0P7K7,53,6,1.0143509e-05
ThomasAM_2018b,UniRef90_Q0P7K7,60,11,7.7178138e-05
ThomasAM_2019_c,UniRef90_Q0P7K7,80,12,1.00583e-05
VogtmannE_2016,UniRef90_Q0P7K7,104,5,2.3496733e-05
WirbelJ_2018,UniRef90_Q0P7K7,125,9,9.261559e-06
YachidaS_2019,UniRef90_Q0P7K7,508,75,0.0002267275916
YuJ_2015,UniRef90_Q0P7K7,128,15,5.7114069e-05
ZellerG_2014,UniRef90_Q0P7K7,114,16,4.8084899e-05
VogtmannE_2016,UniRef90_Q9K2V3,104,6,4.314265e-06
WirbelJ_2018,UniRef90_Q9K2V3,125,2,4.9287721e-07
YachidaS_2019,UniRef90_Q9K2V3,508,13,1.65244975e-05
