model,threshold_pt,net_benefit,n_tp,n_fp,strategy
joint_xgb,0.33,0.286581,498,232,model
joint_xgb,0.34,0.283454,497,228,model
joint_xgb,0.35,0.27937,492,219,model
joint_xgb,0.36,0.273712,488,216,model
joint_xgb,0.37,0.266676,481,211,model
joint_xgb,0.38,0.261654,476,205,model
joint_xgb,0.39,0.25659,474,204,model
joint_xgb,0.4,0.252427,472,201,model
joint_xgb,0.41,0.249516,471,197,model
joint_xgb,0.42,0.24277,467,196,model
joint_xgb,0.43,0.241172,464,187,model
joint_xgb,0.44,0.236317,461,184,model
joint_xgb,0.45,0.233078,461,182,model
joint_xgb,0.46,0.229442,458,177,model
joint_xgb,0.47,0.225978,456,173,model
joint_xgb,0.48,0.221922,455,171,model
joint_xgb,0.49,0.215554,451,169,model
joint_xgb,0.5,0.212099,450,166,model
treat_all,0.01,0.498344,674,665,all
treat_none,0.01,0.0,0,0,none
treat_all,0.02,0.493225,674,665,all
treat_none,0.02,0.0,0,0,none
treat_all,0.03,0.488001,674,665,all
treat_none,0.03,0.0,0,0,none
treat_all,0.04,0.482667,674,665,all
treat_none,0.04,0.0,0,0,none
treat_all,0.05,0.477222,674,665,all
treat_none,0.05,0.0,0,0,none
treat_all,0.06,0.47166,674,665,all
treat_none,0.06,0.0,0,0,none
treat_all,0.07,0.465979,674,665,all
treat_none,0.07,0.0,0,0,none
treat_all,0.08,0.460175,674,665,all
treat_none,0.08,0.0,0,0,none
treat_all,0.09,0.454243,674,665,all
treat_none,0.09,0.0,0,0,none
treat_all,0.1,0.448179,674,665,all
treat_none,0.1,0.0,0,0,none
treat_all,0.11,0.441978,674,665,all
treat_none,0.11,0.0,0,0,none
treat_all,0.12,0.435637,674,665,all
treat_none,0.12,0.0,0,0,none
treat_all,0.13,0.42915,674,665,all
treat_none,0.13,0.0,0,0,none
treat_all,0.14,0.422512,674,665,all
treat_none,0.14,0.0,0,0,none
treat_all,0.15,0.415718,674,665,all
treat_none,0.15,0.0,0,0,none
treat_all,0.16,0.408763,674,665,all
treat_none,0.16,0.0,0,0,none
treat_all,0.17,0.401639,674,665,all
treat_none,0.17,0.0,0,0,none
treat_all,0.18,0.394342,674,665,all
treat_none,0.18,0.0,0,0,none
treat_all,0.19,0.386865,674,665,all
treat_none,0.19,0.0,0,0,none
treat_all,0.2,0.379201,674,665,all
treat_none,0.2,0.0,0,0,none
treat_all,0.21,0.371343,674,665,all
treat_none,0.21,0.0,0,0,none
treat_all,0.22,0.363283,674,665,all
treat_none,0.22,0.0,0,0,none
treat_all,0.23,0.355014,674,665,all
treat_none,0.23,0.0,0,0,none
treat_all,0.24,0.346527,674,665,all
treat_none,0.24,0.0,0,0,none
treat_all,0.25,0.337814,674,665,all
treat_none,0.25,0.0,0,0,none
treat_all,0.26,0.328866,674,665,all
treat_none,0.26,0.0,0,0,none
treat_all,0.27,0.319672,674,665,all
treat_none,0.27,0.0,0,0,none
treat_all,0.28,0.310223,674,665,all
treat_none,0.28,0.0,0,0,none
treat_all,0.29,0.300508,674,665,all
treat_none,0.29,0.0,0,0,none
treat_all,0.3,0.290515,674,665,all
treat_none,0.3,0.0,0,0,none
treat_all,0.31,0.280233,674,665,all
treat_none,0.31,0.0,0,0,none
treat_all,0.32,0.269648,674,665,all
treat_none,0.32,0.0,0,0,none
treat_all,0.33,0.258747,674,665,all
treat_none,0.33,0.0,0,0,none
treat_all,0.34,0.247516,674,665,all
treat_none,0.34,0.0,0,0,none
treat_all,0.35,0.23594,674,665,all
treat_none,0.35,0.0,0,0,none
treat_all,0.36,0.224001,674,665,all
treat_none,0.36,0.0,0,0,none
treat_all,0.37,0.211684,674,665,all
treat_none,0.37,0.0,0,0,none
