held_out_cohort,rank,gene_id,n_nonzero,total_abundance,n_cohorts,prevalence,mean_abundance
YuJ_2015,49,UniRef90_A0A174VDA7,1202,0.037985810664,9,0.9925681255161024,3.136730855821635e-05
YuJ_2015,50,UniRef90_C7H3I9,1202,0.035211027975999995,9,0.9925681255161024,2.9075993374071012e-05
YuJ_2015,51,UniRef90_A0A096B5B1,1202,0.031038396015,9,0.9925681255161024,2.5630384818331958e-05
YuJ_2015,52,UniRef90_D4L0W7,1202,0.0269205851697,9,0.9925681255161024,2.223004555714286e-05
YuJ_2015,53,UniRef90_D4JTZ5,1202,0.025633734531,9,0.9925681255161024,2.116741084310487e-05
YuJ_2015,54,UniRef90_A0A1V5J5Q1,1202,0.01732595857,9,0.9925681255161024,1.4307149933938895e-05
YuJ_2015,55,UniRef90_A7AJP8,1201,0.8304759762164999,9,0.9917423616845582,0.000685777024125929
YuJ_2015,56,UniRef90_A7UXY6,1201,0.4081031134044,9,0.9917423616845582,0.00033699679058992566
YuJ_2015,57,UniRef90_A0A3E4HP53,1201,0.4002678181501,9,0.9917423616845582,0.000330526687159455
YuJ_2015,58,UniRef90_A5KRI2,1201,0.12302462163399999,9,0.9917423616845582,0.00010158928293476465
YuJ_2015,59,UniRef90_A0A173YTU2,1201,0.037601936479100005,9,0.9917423616845582,3.105031914046243e-05
YuJ_2015,60,UniRef90_A6P024,1201,0.0167221508906,9,0.9917423616845582,1.3808547391081753e-05
YuJ_2015,61,UniRef90_A7V4G2,1200,2.195554115096,9,0.990916597853014,0.0018130091784442609
YuJ_2015,62,UniRef90_E2SRB6,1200,0.08921224663980001,9,0.990916597853014,7.366824660594552e-05
YuJ_2015,63,UniRef90_G2T5K3,1200,0.0712144963059999,9,0.990916597853014,5.880635533113121e-05
YuJ_2015,64,UniRef90_A6KYH2,1200,0.0614930592184,9,0.990916597853014,5.0778744193559045e-05
YuJ_2015,65,UniRef90_A6P028,1200,0.0386966386229,9,0.990916597853014,3.195428457712634e-05
YuJ_2015,66,UniRef90_B0N9J6,1200,0.034846700272,9,0.990916597853014,2.877514473327828e-05
YuJ_2015,67,UniRef90_A7AZM6,1200,0.029182083126,9,0.990916597853014,2.4097508774566473e-05
YuJ_2015,68,UniRef90_A0A134CL89,1200,0.0231758303335,9,0.990916597853014,1.9137762455408753e-05
YuJ_2015,69,UniRef90_B5CLP5,1199,0.1237046683265,9,0.9900908340214699,0.0001021508408971924
YuJ_2015,70,UniRef90_A8S630,1199,0.09310340014309999,9,0.9900908340214699,7.688142043195706e-05
YuJ_2015,71,UniRef90_A6KYJ9,1199,0.06747836891259999,9,0.9900908340214699,5.572119645962014e-05
YuJ_2015,72,UniRef90_A0A174EV71,1199,0.063060015227,9,0.9900908340214699,5.207267979108175e-05
YuJ_2015,73,UniRef90_D4LY41,1199,0.062585095315,9,0.9900908340214699,5.168050810487201e-05
YuJ_2015,74,UniRef90_A0A173VH24,1199,0.048723466502,9,0.9900908340214699,4.0234076384805946e-05
YuJ_2015,75,UniRef90_A0A174E4H8,1199,0.024056036803,9,0.9900908340214699,1.9864605122213048e-05
YuJ_2015,76,UniRef90_A0A395V457,1199,0.010978883393,9,0.9900908340214699,9.06596481668043e-06
YuJ_2015,77,UniRef90_A0A0C1R4M8,1199,0.0069554428929999995,9,0.9900908340214699,5.743553173410404e-06
YuJ_2015,78,UniRef90_J7TUV6,1198,0.1972374541122,9,0.9892650701899257,0.00016287155583170933
YuJ_2015,79,UniRef90_A5Z498,1198,0.0897102807119,9,0.9892650701899257,7.407950512956234e-05
YuJ_2015,80,UniRef90_A0A396A9Y4,1198,0.07587103526,9,0.9892650701899257,6.265155677952105e-05
YuJ_2015,81,UniRef90_C4Z731,1198,0.061190641338,9,0.9892650701899257,5.052901844591247e-05
YuJ_2015,82,UniRef90_A9KJG8,1198,0.04747490348,9,0.9892650701899257,3.920305819983485e-05
YuJ_2015,83,UniRef90_D4KTF5,1198,0.036133316971,9,0.9892650701899257,2.9837586268373247e-05
YuJ_2015,84,UniRef90_A0A3E4VBF9,1198,0.032236924251,9,0.9892650701899257,2.66200860867052e-05
YuJ_2015,85,UniRef90_A0A2X2VRZ5,1198,0.031397754156999996,9,0.9892650701899257,2.592712977456647e-05
YuJ_2015,86,UniRef90_A0A2D1TZK6,1198,0.030623057273,9,0.9892650701899257,2.5287413107349297e-05
YuJ_2015,87,UniRef90_D3AQS6,1198,0.0270693792281,9,0.9892650701899257,2.2352914308918248e-05
YuJ_2015,88,UniRef90_E5VKQ7,1198,0.026611136538,9,0.9892650701899257,2.197451406936416e-05
YuJ_2015,89,UniRef90_A0A346FUW7,1198,0.0249314799119999,9,0.9892650701899257,2.058751437819975e-05
YuJ_2015,90,UniRef90_A0A068NYL3,1198,0.02401120404171,9,0.9892650701899257,1.982758384947151e-05
YuJ_2015,91,UniRef90_A6LEG9,1197,0.0797081136679,9,0.9884393063583815,6.5820077347564e-05
YuJ_2015,92,UniRef90_Q08425,1197,0.0698386097498,9,0.9884393063583815,5.7670197976713455e-05
YuJ_2015,93,UniRef90_R9LJ58,1197,0.050691852275000004,9,0.9884393063583815,4.185949816267548e-05
YuJ_2015,94,UniRef90_A0A3E5GAA7,1197,0.050224934362000005,9,0.9884393063583815,4.1473934237819986e-05
YuJ_2015,95,UniRef90_A0A0E9FSE3,1197,0.040138700183,9,0.9884393063583815,3.3145086856317096e-05
YuJ_2015,96,UniRef90_F7KIU0,1197,0.037269398981,9,0.9884393063583815,3.0775721701899254e-05
YuJ_2015,97,UniRef90_A0A1Y3RCS7,1197,0.029598927507799997,9,0.9884393063583815,2.4441723788439304e-05
YuJ_2015,98,UniRef90_A0A3A6I5M8,1197,0.011184087195100001,9,0.9884393063583815,9.235414694549959e-06
YuJ_2015,99,UniRef90_A5ZYU0,1196,0.3467586631061,9,0.9876135425268373,0.00028634076226763004
YuJ_2015,100,UniRef90_A0A174NV69,1196,0.217275393693,9,0.9876135425268373,0.0001794181615962015
YuJ_2015,101,UniRef90_A0A1Y4M362,1196,0.0913223907373,9,0.9876135425268373,7.541072728100743e-05
YuJ_2015,102,UniRef90_Q8A499,1196,0.06363457023130001,9,0.9876135425268373,5.2547126532865406e-05
YuJ_2015,103,UniRef90_R6MNH0,1196,0.062253107765999995,9,0.9876135425268373,5.14063647943848e-05
YuJ_2015,104,UniRef90_A0A3E4TAH0,1196,0.0526250426711,9,0.9876135425268373,4.345585687126342e-05
YuJ_2015,105,UniRef90_A6BD33,1196,0.052524260931,9,0.9876135425268373,4.337263495540876e-05
YuJ_2015,106,UniRef90_B0PDG5,1196,0.045662221488999996,9,0.9876135425268373,3.770621097357555e-05
YuJ_2015,107,UniRef90_R0CK04,1196,0.037732181692,9,0.9876135425268373,3.115787092650702e-05
YuJ_2015,108,UniRef90_D4L1Y8,1196,0.037127796920999996,9,0.9876135425268373,3.065879184227911e-05
YuJ_2015,109,UniRef90_A6NW75,1196,0.0330547618044,9,0.9876135425268373,2.7295426758381504e-05
YuJ_2015,110,UniRef90_A0A173QWR1,1196,0.024834672168,9,0.9876135425268373,2.050757404459125e-05
YuJ_2015,111,UniRef90_A0A396GFV9,1196,0.0193681438342,9,0.9876135425268373,1.5993512662427746e-05
YuJ_2015,112,UniRef90_R9KPA6,1196,0.01080796049,9,0.9876135425268373,8.924822865400496e-06
YuJ_2015,113,UniRef90_A0A0E1X896,1195,0.4370652075036,9,0.9867877786952931,0.0003609126403828241
YuJ_2015,114,UniRef90_A0A174I2V0,1195,0.4032732956374,9,0.9867877786952931,0.0003330085017649876
YuJ_2015,115,UniRef90_A0A174TQZ1,1195,0.058684441484000004,9,0.9867877786952931,4.845948925185797e-05
YuJ_2015,116,UniRef90_C4Z2U0,1195,0.044892294725,9,0.9867877786952931,3.7070433298926506e-05
YuJ_2015,117,UniRef90_D4LWI4,1195,0.039238985874,9,0.9867877786952931,3.240213532122213e-05
YuJ_2015,118,UniRef90_A0A136WGK3,1195,0.036960448106499996,9,0.9867877786952931,3.052060124401321e-05
YuJ_2015,119,UniRef90_A0A3E4V6K6,1195,0.032220527385,9,0.9867877786952931,2.6606546147811728e-05
YuJ_2015,120,UniRef90_A0A0P6AFG5,1195,0.0268761889,9,0.9867877786952931,2.2193384723369118e-05
YuJ_2015,121,UniRef90_F7KHD1,1195,0.0252428943061,9,0.9867877786952931,2.084466912146986e-05
YuJ_2015,122,UniRef90_R0BXG6,1195,0.025063129136,9,0.9867877786952931,2.0696225545829893e-05
YuJ_2015,123,UniRef90_D4CI29,1195,0.016926390686,9,0.9867877786952931,1.3977201227085052e-05
YuJ_2015,124,UniRef90_D0TK99,1194,0.399464204158,9,0.985962014863749,0.00032986309179025596
