held_out_cohort,rank,gene_id,n_nonzero,total_abundance,n_cohorts,prevalence,mean_abundance
ZellerG_2014,49,UniRef90_B0GAB5,1216,0.060794477219,9,0.9926530612244898,4.962814466857143e-05
ZellerG_2014,50,UniRef90_A7AZN6,1216,0.051820689348,9,0.9926530612244898,4.230260354938776e-05
ZellerG_2014,51,UniRef90_A0A1E3AIV3,1216,0.046239295682,9,0.9926530612244898,3.7746363822040814e-05
ZellerG_2014,52,UniRef90_A0A174VDA7,1216,0.040080907784,9,0.9926530612244898,3.271910839510204e-05
ZellerG_2014,53,UniRef90_A0A174C1Q1,1216,0.036392756706,9,0.9926530612244898,2.970837282122449e-05
ZellerG_2014,54,UniRef90_C7H3I9,1216,0.034946213646,9,0.9926530612244898,2.852752134367347e-05
ZellerG_2014,55,UniRef90_A0A096B5B1,1216,0.031441138055,9,0.9926530612244898,2.5666235146938774e-05
ZellerG_2014,56,UniRef90_D4L0W7,1216,0.0275129859397,9,0.9926530612244898,2.2459580358938773e-05
ZellerG_2014,57,UniRef90_D4JTZ5,1216,0.02642964617,9,0.9926530612244898,2.1575221363265306e-05
ZellerG_2014,58,UniRef90_J7TUV6,1215,0.2099031155742,9,0.9918367346938776,0.00017134948210138776
ZellerG_2014,59,UniRef90_A0A173YTU2,1215,0.0397474077021,9,0.9918367346938776,3.244686343028572e-05
ZellerG_2014,60,UniRef90_A6P024,1215,0.0167152783906,9,0.9918367346938776,1.3645125216816327e-05
ZellerG_2014,61,UniRef90_F5RQN3,1215,0.0145463938825,9,0.9918367346938776,1.1874607251020408e-05
ZellerG_2014,62,UniRef90_A7V4G2,1214,2.195602226364,9,0.9910204081632653,0.001792328348052245
ZellerG_2014,63,UniRef90_A0A3E4HP53,1214,0.4053452580621,9,0.9910204081632653,0.0003308940882139592
ZellerG_2014,64,UniRef90_E2SRB6,1214,0.0898614407998,9,0.9910204081632653,7.335627820391836e-05
ZellerG_2014,65,UniRef90_A5Z498,1214,0.08946286132510001,9,0.9910204081632653,7.303090720416327e-05
ZellerG_2014,66,UniRef90_G2T5K3,1214,0.0676629672059999,9,0.9910204081632653,5.5235075270204e-05
ZellerG_2014,67,UniRef90_A0A173VH24,1214,0.048043158702,9,0.9910204081632653,3.921890506285715e-05
ZellerG_2014,68,UniRef90_B0N9J6,1214,0.036599386718,9,0.9910204081632653,2.9877050382040813e-05
ZellerG_2014,69,UniRef90_A7AZM6,1214,0.030213207970000003,9,0.9910204081632653,2.466384324081633e-05
ZellerG_2014,70,UniRef90_A0A068NYL3,1214,0.02386051455171,9,0.9910204081632653,1.9477971062620407e-05
ZellerG_2014,71,UniRef90_A0A134CL89,1214,0.0236424607875,9,0.9910204081632653,1.9299967989795917e-05
ZellerG_2014,72,UniRef90_A0A395V457,1214,0.011235140578,9,0.9910204081632653,9.171543328979592e-06
ZellerG_2014,73,UniRef90_A6KYJ9,1213,0.06894773310659999,9,0.990204081632653,5.6283863760489786e-05
ZellerG_2014,74,UniRef90_A0A174EV71,1213,0.066783592565,9,0.990204081632653,5.451721842040816e-05
ZellerG_2014,75,UniRef90_C4Z731,1213,0.066156292438,9,0.990204081632653,5.400513668408164e-05
ZellerG_2014,76,UniRef90_A6KYH2,1213,0.06270122343840001,9,0.990204081632653,5.118467219461225e-05
ZellerG_2014,77,UniRef90_D4LY41,1213,0.058830070261,9,0.990204081632653,4.802454715183673e-05
ZellerG_2014,78,UniRef90_A6P028,1213,0.0395654907349,9,0.990204081632653,3.2298359783591836e-05
ZellerG_2014,79,UniRef90_A0A2D1TZK6,1213,0.029989689174000002,9,0.990204081632653,2.448137891755102e-05
ZellerG_2014,80,UniRef90_E5VKQ7,1213,0.027825262808,9,0.990204081632653,2.271450025142857e-05
ZellerG_2014,81,UniRef90_A0A0C1R4M8,1213,0.006738369394699999,9,0.990204081632653,5.500709709959184e-06
ZellerG_2014,82,UniRef90_A8S630,1212,0.0928269495961,9,0.9893877551020408,7.577710171110204e-05
ZellerG_2014,83,UniRef90_A6LEG9,1212,0.0815621375749,9,0.9893877551020408,6.658133679583674e-05
ZellerG_2014,84,UniRef90_A0A396A9Y4,1212,0.072921868115,9,0.9893877551020408,5.952805560408163e-05
ZellerG_2014,85,UniRef90_R9LJ58,1212,0.050546501945,9,0.9893877551020408,4.126245056734694e-05
ZellerG_2014,86,UniRef90_A9KJG8,1212,0.046436476372999996,9,0.9893877551020408,3.7907327651428567e-05
ZellerG_2014,87,UniRef90_D4KTF5,1212,0.035805943802,9,0.9893877551020408,2.9229341879183676e-05
ZellerG_2014,88,UniRef90_A0A3E4VBF9,1212,0.034063820038,9,0.9893877551020408,2.780720003102041e-05
ZellerG_2014,89,UniRef90_A0A2X2VRZ5,1212,0.031981582040999997,9,0.9893877551020408,2.6107413911020407e-05
ZellerG_2014,90,UniRef90_D3AQS6,1212,0.0279581717231,9,0.9893877551020408,2.2822997324979593e-05
ZellerG_2014,91,UniRef90_A0A174E4H8,1212,0.024569007719,9,0.9893877551020408,2.0056332831836733e-05
ZellerG_2014,92,UniRef90_A0A3A6I5M8,1212,0.0114604304951,9,0.9893877551020408,9.355453465387755e-06
ZellerG_2014,93,UniRef90_R9KPA6,1212,0.01142454721,9,0.9893877551020408,9.326160987755103e-06
ZellerG_2014,94,UniRef90_A0A174I2V0,1211,0.4145969656364,9,0.9885714285714285,0.00033844650256032653
ZellerG_2014,95,UniRef90_B5CLP5,1211,0.1246940740465,9,0.9885714285714285,0.00010179108085428571
ZellerG_2014,96,UniRef90_R6MNH0,1211,0.06412012527,9,0.9885714285714285,5.2342959404081626e-05
ZellerG_2014,97,UniRef90_A8ST13,1211,0.059033890963400004,9,0.9885714285714285,4.819093139869388e-05
ZellerG_2014,98,UniRef90_A0A3E5GAA7,1211,0.050117201755,9,0.9885714285714285,4.091200143265306e-05
ZellerG_2014,99,UniRef90_F7KIU0,1211,0.039816585954,9,0.9885714285714285,3.250333547265306e-05
ZellerG_2014,100,UniRef90_R0BXG6,1211,0.026558993056,9,0.9885714285714285,2.1680810657959183e-05
ZellerG_2014,101,UniRef90_A0A174NV69,1210,0.220207194907,9,0.9877551020408163,0.00017976097543428573
ZellerG_2014,102,UniRef90_Q08425,1210,0.0723872385184,9,0.9877551020408163,5.909162328032653e-05
ZellerG_2014,103,UniRef90_Q8A499,1210,0.0651270545793,9,0.9877551020408163,5.3164942513714286e-05
ZellerG_2014,104,UniRef90_A0A3E4TAH0,1210,0.052828472471,9,0.9877551020408163,4.312528364979592e-05
ZellerG_2014,105,UniRef90_B0PDG5,1210,0.047906667638,9,0.9877551020408163,3.910748378612245e-05
ZellerG_2014,106,UniRef90_A0A173X6V6,1210,0.042514085738,9,0.9877551020408163,3.470537611265306e-05
ZellerG_2014,107,UniRef90_A0A0E9FSE3,1210,0.039845751709,9,0.9877551020408163,3.25271442522449e-05
ZellerG_2014,108,UniRef90_D4LWI4,1210,0.038188127274,9,0.9877551020408163,3.117398144816327e-05
ZellerG_2014,109,UniRef90_R0CK04,1210,0.0381644924385,9,0.9877551020408163,3.115468770489796e-05
ZellerG_2014,110,UniRef90_D4L1Y8,1210,0.037357296543999996,9,0.9877551020408163,3.0495752280816324e-05
ZellerG_2014,111,UniRef90_A0A1Y3RCS7,1210,0.029206533067799998,9,0.9877551020408163,2.3842067810448977e-05
ZellerG_2014,112,UniRef90_A0A346FUW7,1210,0.0243479377119999,9,0.9877551020408163,1.987586751999992e-05
ZellerG_2014,113,UniRef90_A0A396GFV9,1210,0.0189104403942,9,0.9877551020408163,1.543709419934694e-05
ZellerG_2014,114,UniRef90_A0A0E1X896,1209,0.4388269525376,9,0.986938775510204,0.0003582260837041633
ZellerG_2014,115,UniRef90_D0TK99,1209,0.40394180154,9,0.986938775510204,0.00032974840942040815
ZellerG_2014,116,UniRef90_A5ZYU0,1209,0.3547377572821,9,0.986938775510204,0.0002895818426792653
ZellerG_2014,117,UniRef90_A0A2P2F5X9,1209,0.1000264538515,9,0.986938775510204,8.165424804204082e-05
ZellerG_2014,118,UniRef90_A7B6K6,1209,0.092429968923,9,0.986938775510204,7.54530358555102e-05
ZellerG_2014,119,UniRef90_A0A174TQZ1,1209,0.062892309272,9,0.986938775510204,5.134066063020408e-05
ZellerG_2014,120,UniRef90_A6BD33,1209,0.052269328661,9,0.986938775510204,4.266883972326531e-05
ZellerG_2014,121,UniRef90_C4Z2U0,1209,0.043867859459,9,0.986938775510204,3.581049751755102e-05
ZellerG_2014,122,UniRef90_A6NW75,1209,0.0330638720204,9,0.986938775510204,2.699091593502041e-05
ZellerG_2014,123,UniRef90_A0A173QWR1,1209,0.024586009455,9,0.986938775510204,2.00702118e-05
ZellerG_2014,124,UniRef90_D4CI29,1209,0.017393284885,9,0.986938775510204,1.4198599906122447e-05
ZellerG_2014,125,UniRef90_A0A1Y4M362,1208,0.0967119934743,9,0.9861224489795918,7.894856610146939e-05
ZellerG_2014,126,UniRef90_B0G8N9,1208,0.076832105676,9,0.9861224489795918,6.272008626612246e-05
ZellerG_2014,127,UniRef90_B5CNA7,1208,0.04780802982,9,0.9861224489795918,3.902696311836735e-05
ZellerG_2014,128,UniRef90_A9KRZ1,1208,0.046340843464,9,0.9861224489795918,3.7829259970612244e-05
ZellerG_2014,129,UniRef90_D4L1Z3,1208,0.045764208591,9,0.9861224489795918,3.735853762530612e-05
ZellerG_2014,130,UniRef90_E1KN21,1208,0.0428821113375,9,0.9861224489795918,3.500580517346939e-05
ZellerG_2014,131,UniRef90_A0A136WGK3,1208,0.0374254345945,9,0.9861224489795918,3.055137517918367e-05
ZellerG_2014,132,UniRef90_A0A3E4V6K6,1208,0.033342682805,9,0.9861224489795918,2.7218516575510208e-05
ZellerG_2014,133,UniRef90_A0A174GBZ5,1208,0.033063677091,9,0.9861224489795918,2.699075680897959e-05
ZellerG_2014,134,UniRef90_D4KYI8,1208,0.032035706449,9,0.9861224489795918,2.615159710122449e-05
ZellerG_2014,135,UniRef90_U5F4Y0,1208,0.026200489458900002,9,0.9861224489795918,2.1388154660326534e-05
ZellerG_2014,136,UniRef90_F7KHD1,1208,0.025739717771100002,9,0.9861224489795918,2.101201450702041e-05
ZellerG_2014,137,UniRef90_U2R7I4,1208,0.024647679459,9,0.9861224489795918,2.0120554660408163e-05
ZellerG_2014,138,UniRef90_A0A173YA79,1208,0.0213067617526,9,0.9861224489795918,1.7393274900081632e-05
ZellerG_2014,139,UniRef90_H1B4Y0,1208,0.0187302377359999,9,0.9861224489795918,1.5289989988571347e-05
ZellerG_2014,140,UniRef90_UPI0009DBE405,1208,0.006251789721,9,0.9861224489795918,5.1035018130612244e-06
ZellerG_2014,141,UniRef90_B0NWG2,1207,0.1637653584729,9,0.9853061224489796,0.00013368600691665306
ZellerG_2014,142,UniRef90_E6SR85,1207,0.0844426582169,9,0.9853061224489796,6.893278221787756e-05
ZellerG_2014,143,UniRef90_E1YSQ9,1207,0.0696422241585,9,0.9853061224489796,5.6850795231428565e-05
ZellerG_2014,144,UniRef90_A6LEJ2,1207,0.0541891007075,9,0.9853061224489796,4.423600057755102e-05
ZellerG_2014,145,UniRef90_Q8AAN9,1207,0.053731369265,9,0.9853061224489796,4.386234225714286e-05
ZellerG_2014,146,UniRef90_A0A133PU47,1207,0.0490721156835,9,0.9853061224489796,4.0058869945714283e-05
ZellerG_2014,147,UniRef90_S0F6D4,1207,0.0399827379516,9,0.9853061224489796,3.263896975640816e-05
ZellerG_2014,148,UniRef90_A0A174Z1D1,1207,0.039476445932999996,9,0.9853061224489796,3.222567014938775e-05
ZellerG_2014,149,UniRef90_A7VRM9,1207,0.035519909424000004,9,0.9853061224489796,2.8995844427755106e-05
ZellerG_2014,150,UniRef90_A8R8S8,1207,0.0299279689095,9,0.9853061224489796,2.4430995028163263e-05
ZellerG_2014,151,UniRef90_D4K6T2,1207,0.028133590761400002,9,0.9853061224489796,2.296619653991837e-05
ZellerG_2014,152,UniRef90_A0A0S2W8L4,1207,0.0272482636315,9,0.9853061224489796,2.2243480515510205e-05
ZellerG_2014,153,UniRef90_A0A0P6AFG5,1207,0.02682221409,9,0.9853061224489796,2.1895684971428572e-05
ZellerG_2014,154,UniRef90_C0CLV9,1207,0.0206516252069999,9,0.9853061224489796,1.6858469556734614e-05
ZellerG_2014,155,UniRef90_A0A174S825,1207,0.016468556955,9,0.9853061224489796,1.3443719963265307e-05
ZellerG_2014,156,UniRef90_A7B6K2,1206,0.307567781013,9,0.9844897959183674,0.00025107573960244896
ZellerG_2014,157,UniRef90_A0A174QSW1,1206,0.266321339256,9,0.9844897959183674,0.00021740517490285714
ZellerG_2014,158,UniRef90_A0A396E3S1,1206,0.085194544752,9,0.9844897959183674,6.954656714448979e-05
ZellerG_2014,159,UniRef90_A0A0N7J6W0,1206,0.075206326249,9,0.9844897959183674,6.139291938693878e-05
ZellerG_2014,160,UniRef90_D4WHX6,1206,0.061639407709000005,9,0.9844897959183674,5.0317883844081635e-05
ZellerG_2014,161,UniRef90_I4Z7P1,1206,0.058386673957,9,0.9844897959183674,4.766259098530612e-05
ZellerG_2014,162,UniRef90_E4VR83,1206,0.05442857897,9,0.9844897959183674,4.44314930367347e-05
ZellerG_2014,163,UniRef90_C3R2Z0,1206,0.0449451730061,9,0.9844897959183674,3.6689937147836737e-05
ZellerG_2014,164,UniRef90_Q9AE24,1206,0.044390274758,9,0.9844897959183674,3.623695898612245e-05
ZellerG_2014,165,UniRef90_A0A174EIN5,1206,0.033281898302,9,0.9844897959183674,2.7168896573061224e-05
ZellerG_2014,166,UniRef90_C0FQ15,1206,0.0325989023211,9,0.9844897959183674,2.661134883355102e-05
ZellerG_2014,167,UniRef90_A0A135YTH6,1206,0.0302215403539999,9,0.9844897959183674,2.4670645186938695e-05
ZellerG_2014,168,UniRef90_C7H7K4,1206,0.02630239973,9,0.9844897959183674,2.1471346718367346e-05
ZellerG_2014,169,UniRef90_A0A174LPJ5,1206,0.02181861141,9,0.9844897959183674,1.7811111355102042e-05
ZellerG_2014,170,UniRef90_R0AZG5,1206,0.019647372111,9,0.9844897959183674,1.603867111102041e-05
ZellerG_2014,171,UniRef90_F7KLV8,1206,0.016003454427,9,0.9844897959183674,1.3064044430204083e-05
ZellerG_2014,172,UniRef90_D4LS50,1206,0.0144229227853,9,0.9844897959183674,1.1773814518612245e-05
ZellerG_2014,173,UniRef90_C5EWP5,1206,0.012038143478,9,0.9844897959183674,9.827055900408164e-06
ZellerG_2014,174,UniRef90_A5Z3S1,1205,0.1359650900250999,9,0.9836734693877551,0.00011099191022457136
ZellerG_2014,175,UniRef90_A5ZYK6,1205,0.1215920074929999,9,0.9836734693877551,9.92587816269387e-05
ZellerG_2014,176,UniRef90_W4PUR5,1205,0.043643178645,9,0.9836734693877551,3.5627084608163265e-05
ZellerG_2014,177,UniRef90_B0NE07,1205,0.037250675944,9,0.9836734693877551,3.0408715056326532e-05
ZellerG_2014,178,UniRef90_D4JB62,1205,0.034557368832,9,0.9836734693877551,2.8210097005714285e-05
ZellerG_2014,179,UniRef90_D4L1Z7,1205,0.032575819586,9,0.9836734693877551,2.6592505784489793e-05
ZellerG_2014,180,UniRef90_C9YMF1,1205,0.0244649318824,9,0.9836734693877551,1.997137296522449e-05
ZellerG_2014,181,UniRef90_E4M058,1205,0.024372736858,9,0.9836734693877551,1.9896111720816328e-05
ZellerG_2014,182,UniRef90_G2T0G7,1205,0.022569393206000002,9,0.9836734693877551,1.8423994453877552e-05
ZellerG_2014,183,UniRef90_A0A1L5L421,1205,0.0152787608049999,9,0.9836734693877551,1.2472457799999919e-05
ZellerG_2014,184,UniRef90_A0A1L5KFG5,1205,0.0145456663458,9,0.9836734693877551,1.1874013343510204e-05
ZellerG_2014,185,UniRef90_D4CI30,1204,0.14814570091270002,9,0.9828571428571429,0.0001209352660511837
ZellerG_2014,186,UniRef90_A8SBJ8,1204,0.143996573598,9,0.9828571428571429,0.00011754822334530612
ZellerG_2014,187,UniRef90_A5Z300,1204,0.0795763413031,9,0.9828571428571429,6.496027861477551e-05
ZellerG_2014,188,UniRef90_A0A3E4USV0,1204,0.078820815903,9,0.9828571428571429,6.434352318612244e-05
ZellerG_2014,189,UniRef90_K6AL67,1204,0.0765373766187,9,0.9828571428571429,6.247949111730612e-05
ZellerG_2014,190,UniRef90_A0A396DV75,1204,0.057054071067,9,0.9828571428571429,4.657475189142857e-05
ZellerG_2014,191,UniRef90_Q8A488,1204,0.051347750907,9,0.9828571428571429,4.191653135265306e-05
ZellerG_2014,192,UniRef90_B5D2D5,1204,0.048941200674600005,9,0.9828571428571429,3.995200055069388e-05
ZellerG_2014,193,UniRef90_W0ERK2,1204,0.040461354526,9,0.9828571428571429,3.302967716408163e-05
ZellerG_2014,194,UniRef90_B5CKQ6,1204,0.036662602191,9,0.9828571428571429,2.9928654849795922e-05
ZellerG_2014,195,UniRef90_A9KMW6,1204,0.036025842376000004,9,0.9828571428571429,2.9408850919183677e-05
ZellerG_2014,196,UniRef90_A0A396FC19,1204,0.022514871559,9,0.9828571428571429,1.8379486986938776e-05
ZellerG_2014,197,UniRef90_G2T3B2,1204,0.0210509327648,9,0.9828571428571429,1.7184434910040815e-05
ZellerG_2014,198,UniRef90_A6P025,1204,0.0131265638802,9,0.9828571428571429,1.0715562351183674e-05
ZellerG_2014,199,UniRef90_B1BA66,1204,0.008449282601999999,9,0.9828571428571429,6.897373552653061e-06
ZellerG_2014,200,UniRef90_UPI000E4CFF93,1204,0.0070869015884,9,0.9828571428571429,5.785225786448979e-06
ZellerG_2014,201,UniRef90_A0A3E5DK23,1203,0.071994877603,9,0.9820408163265306,5.87713286555102e-05
ZellerG_2014,202,UniRef90_K9E6V7,1203,0.0662705939425,9,0.9820408163265306,5.409844403469388e-05
