dominant_taxon_fraction_threshold,n_candidates_passing,n_candidates_evaluated,prespecified_primary_threshold
0.2,3,4,False
0.3,1,4,False
0.4,1,4,False
0.5,0,4,False
0.6,0,4,False
0.7,0,4,False
0.8,0,4,True
0.9,0,4,False
