gene_id,n_outer_selections,n_heldout_evaluable,heldout_crc_enriched_fraction,heldout_median_auc,heldout_median_prevalence_difference,internal_nomination,external_confirmation_status
UniRef90_A0A3E5DM19,4,4,0.75,0.5162734980620155,0.005423609656167838,False,not_yet_assessed
UniRef90_G9YSZ3,4,4,0.25,0.5138650412087912,-0.029539127745128346,False,not_yet_assessed
UniRef90_A0A158T0E6,4,4,0.25,0.4582867482867483,-0.03350850850850845,False,not_yet_assessed
UniRef90_R5UTP4,3,3,0.0,0.6371371371371372,-0.00350350350350348,False,not_yet_assessed
UniRef90_A0A015P063,3,3,0.0,0.5887573964497042,-0.03125,False,not_yet_assessed
UniRef90_S2Z0L4,3,3,0.0,0.5724852071005917,-0.008508508508508483,False,not_yet_assessed
UniRef90_R5JBH5,3,3,0.0,0.5502873563218391,-0.0580357142857143,False,not_yet_assessed
UniRef90_C5ERC9,3,3,0.6666666666666666,0.5446953294154037,0.016248062015503884,False,not_yet_assessed
UniRef90_A0A1E3UBT2,3,3,0.6666666666666666,0.539375,0.020248062015503887,False,not_yet_assessed
UniRef90_R8VZS7,3,3,0.3333333333333333,0.5269970414201184,-0.0007751937984495916,False,not_yet_assessed
UniRef90_A8RVW8,3,3,1.0,0.5172403100775194,0.011444478812248748,False,not_yet_assessed
UniRef90_A6P027,3,3,0.3333333333333333,0.49724806201550387,0.0,False,not_yet_assessed
UniRef90_A7LT91,3,3,0.3333333333333333,0.492816091954023,-0.037735849056603765,False,not_yet_assessed
UniRef90_A0A397WMH6,3,3,0.3333333333333333,0.4918682170542636,-0.025000000000000022,False,not_yet_assessed
UniRef90_F4XER6,3,3,1.0,0.49,0.038461538461538436,False,not_yet_assessed
UniRef90_D4JXR4,3,3,1.0,0.4818786982248521,0.019230769230769162,False,not_yet_assessed
UniRef90_A0A395WC15,3,3,1.0,0.48010077519379846,0.016620155038759687,False,not_yet_assessed
UniRef90_A0A0P0F0H3,3,3,0.3333333333333333,0.47270114942528735,-0.054597701149425304,False,not_yet_assessed
UniRef90_A0A174LYQ7,3,3,0.3333333333333333,0.45545977011494254,-0.07692307692307698,False,not_yet_assessed
UniRef90_Q8A2N7,3,3,0.3333333333333333,0.4425287356321839,-0.07692307692307698,False,not_yet_assessed
UniRef90_H1CHY2,3,3,0.0,0.4382183908045977,-0.019230769230769162,False,not_yet_assessed
UniRef90_A8RVT2,3,3,0.3333333333333333,0.421875,0.0,False,not_yet_assessed
UniRef90_A0A329U7R9,2,2,0.0,0.5900554187192119,-0.04813218390804602,False,not_yet_assessed
UniRef90_D3AFU1,2,2,0.0,0.5891224431573803,-0.021342406433652927,False,not_yet_assessed
UniRef90_R5RCI1,2,2,0.0,0.5787157951377895,-0.050188560279806727,False,not_yet_assessed
UniRef90_A0A174RP44,2,2,0.0,0.5782822002939363,-0.02866473149492016,False,not_yet_assessed
UniRef90_U6RJK9,2,2,0.0,0.5748191038422188,-0.02046801018344474,False,not_yet_assessed
UniRef90_A0A3E2B0H7,2,2,0.0,0.569055316091954,-0.051724137931034475,False,not_yet_assessed
UniRef90_C3QN29,2,2,0.0,0.5653027522662923,-0.05660377358490565,False,not_yet_assessed
UniRef90_R6JAK6,2,2,0.0,0.5651934813324866,-0.04464774322491616,False,not_yet_assessed
UniRef90_Q5LCA5,2,2,0.0,0.5641245650896725,-0.031320635751504844,False,not_yet_assessed
UniRef90_C9KVB5,2,2,0.0,0.5637080312561082,-0.02348502348502346,False,not_yet_assessed
UniRef90_G2T4T7,2,2,0.0,0.559838105500821,-0.03448275862068967,False,not_yet_assessed
UniRef90_R6JMK7,2,2,0.0,0.5538877107853291,-0.060820409026409616,False,not_yet_assessed
