model,mean,min,max
species_source_only,0.8139672003914212,0.6882183908045977,0.9166666666666667
stratified_source_only,0.772825119468387,0.6673333333333333,0.9011111111111111
stratified_target_adaptive,0.7765138403257461,0.6717364341085271,0.8911111111111111
